Fecha,Producto,Division,Precio,Variacion,Porcentaje
2025-06-01 11:12,Galletita de Agua Cracker Dia 101 Gr,Panificados,1575.0,,
2025-06-01 11:12,Arroz Largo Fino Molinos Ala 500 Gr.,Almacén,3120.0,,
2025-06-01 11:12,Papa Negra x 1 Kg,Frescos,4550.0,,
2025-06-01 11:12,Batata x 1 Kg,Frescos,1290.0,,
2025-06-01 11:12,Azúcar Plus DIA Común tipo A 1 Kg,Almacén,1980.0,,
2025-06-01 11:12,Dulce de Leche Clásico La Serenísima con calcio 400 Gr,Almacén,3135.0,,
2025-06-01 11:12,Acelga x 1 Kg,Frescos,3090.0,,
2025-06-01 11:12,Cebolla Morada x 1 Kg,Frescos,3380.0,,
2025-06-01 11:12,Lechuga Mantecosa x 1 Kg,Frescos,4790.0,,
2025-06-01 11:12,Tomate Perita x 1 Kg,Frescos,5780.0,,
2025-06-01 11:12,Zanahoria x 1 Kg,Frescos,2580.0,,
2025-06-01 11:12,Zapallo x 1 Kg,Frescos,890.0,,
2025-06-01 11:12,Manzana Roja x 1 Kg,Frescos,5380.0,,
2025-06-01 11:12,Mandarina x 1 Kg,Frescos,2580.0,,
2025-06-01 11:12,Naranja Jugo x 1 Kg,Frescos,2580.0,,
2025-06-01 11:12,Banana x 1 Kg,Frescos,3980.0,,
2025-06-01 11:12,Pera x 1 Kg,Frescos,1690.0,,
2025-06-01 11:12,Asado x Kg,Frescos,13600.0,,
2025-06-01 11:12,Carnaza Comun x Kg,Frescos,10500.0,,
2025-06-01 11:12,Paleta en Churrasco Envasado al Vacío x 1 Kg.,Frescos,14100.0,,
2025-06-01 11:12,Carne picada Especial Atmósfera Modificada 500 Gr,Frescos,14000.0,,
2025-06-01 11:12,Milanesa De Nalga Carnes De La Estancia Envasado Al Vacío X 1 Kg,Frescos,8450.0,,
2025-06-01 11:12,Pollo Entero x 1 Kg (precio por kg),Frescos,2990.0,,
2025-06-01 11:12,Filet de Merluza Rebozado a la Romana Dia 500 Gr (Carne de pescado - opción rebozada),Frescos,9990.0,,
2025-06-01 11:12,Leche Entera DIA Sachet 1 Lt.,Frescos,13900.0,,
2025-06-01 11:12,Queso Crema DIA Normandia 290 Gr.,Frescos,2990.0,,
2025-06-01 11:12,Queso Cremoso Dia X Kg. (Proxy para Queso Cuartirolo),Frescos,12890.0,,
2025-06-01 11:12,Queso Rallado DIA 150 Gr,Frescos,4190.0,,
2025-06-01 11:12,"Yogur Bebible Frutilla La Serenisima 1,1 Lt.",Frescos,7380.0,,
2025-06-01 11:12,"Aceite de Girasol Natura 1,5 Lt.",Almacén,4470.0,,
2025-06-01 11:12,Gaseosa Coca-Cola Sabor Original 2.25 Lt.,Bebidas alcohólicas y tabaco,8400.0,,
2025-06-01 11:12,Sifon De Soda Sin Tacc Dia 2 Lt.,Bebidas alcohólicas y tabaco,2900.0,,
2025-06-01 11:12,Cerveza Lager Oslava 1 Lt.,Bebidas alcohólicas y tabaco,2580.0,,
2025-06-01 11:12,Sal Fina en Paquete Celusal 500 Gr.,Almacén,1325.0,,
2025-06-01 11:12,Vinagre de Alcohol Dia 1 Lt.,Almacén,1050.0,,
2025-06-01 11:12,Dolca Suave Nescafé x 100 Gr. (Instantáneo),Almacén,7190.0,,
2025-06-01 11:12,Yerba Mate Taragüi 4 Flex 500 Gr.,Almacén,4500.0,,
2025-06-01 11:12,Pan Mignon 250 Gr,Panificados,918.0,,
2025-06-01 11:12,Vainillas DIA 148 Gr.,Panificados,2500.0,,
2025-06-01 11:12,Harina de Trigo 000 DIA 1 Kg,Almacén,1580.0,,
2025-06-01 11:12,Polenta Prestopronta 500 Gr.,Almacén,1325.0,,
2025-06-01 11:12,Fideos Tirabuzón Favorita 500 Gr,Almacén,3000.0,,
2025-06-01 11:12,Dulce de Batata Emeth 500 Gr,Almacén,2500.0,,
2025-06-01 11:12,Mermelada BC Durazno 390 Gr,Almacén,3175.0,,
2025-06-01 11:12,Lentejas Dia 400 Gr,Almacén,2100.0,,
2025-06-01 11:12,Puré de Tomate Dia 520 Gr.,Almacén,790.0,,
2025-06-01 11:12,Jamón Cocido Fetas Finas Dia 200 Gr (Ejemplo para Paleta Cocida),Frescos,3355.0,,
2025-06-01 11:12,Salamín Cagnoli Picado Grueso 145 Gr (Ejemplo para Salame),Frescos,5290.0,,
2025-06-01 11:12,Huevo Blanco Grande x 12 unidades,Frescos,7980.0,,
2025-06-01 11:12,Manteca DIA Calidad Extra 200 Gr,Frescos,3000.0,,
2025-06-01 11:12,Vino Tinto Cabernet Buenos Aires 750 Ml.,Bebidas alcohólicas y tabaco,4700.0,,
2025-06-01 11:12,Mayonesa DIA 220 Ml.,Almacén,725.0,,
2025-06-01 11:12,Caldo De Verdura Maggi x 12 Ud.,Almacén,1480.0,,
2025-06-01 11:12,Arveja Congelada DIA 350 Gr,Almacén,1990.0,,
2025-06-01 11:12,"Jugo en Polvo Light Dia 7,5 Gr",Bebidas alcohólicas y tabaco,280.0,,
2025-06-02 21:16,Galletita de Agua Cracker Dia 101 Gr,Panificados,1575.0,0.0,0.0
2025-06-02 21:16,Arroz Largo Fino Molinos Ala 500 Gr.,Almacén,3120.0,0.0,0.0
2025-06-02 21:16,Papa Negra x 1 Kg,Frescos,4550.0,0.0,0.0
2025-06-02 21:16,Batata x 1 Kg,Frescos,1290.0,0.0,0.0
2025-06-02 21:16,Azúcar Plus DIA Común tipo A 1 Kg,Almacén,1980.0,0.0,0.0
2025-06-02 21:16,Dulce de Leche Clásico La Serenísima con calcio 400 Gr,Almacén,3135.0,0.0,0.0
2025-06-02 21:16,Acelga x 1 Kg,Frescos,3090.0,0.0,0.0
2025-06-02 21:16,Cebolla Morada x 1 Kg,Frescos,3380.0,0.0,0.0
2025-06-02 21:16,Lechuga Mantecosa x 1 Kg,Frescos,4790.0,0.0,0.0
2025-06-02 21:16,Tomate Perita x 1 Kg,Frescos,5780.0,0.0,0.0
2025-06-02 21:16,Zanahoria x 1 Kg,Frescos,2580.0,0.0,0.0
2025-06-02 21:16,Zapallo x 1 Kg,Frescos,890.0,0.0,0.0
2025-06-02 21:16,Manzana Roja x 1 Kg,Frescos,5380.0,0.0,0.0
2025-06-02 21:16,Mandarina x 1 Kg,Frescos,2580.0,0.0,0.0
2025-06-02 21:16,Naranja Jugo x 1 Kg,Frescos,2580.0,0.0,0.0
2025-06-02 21:16,Banana x 1 Kg,Frescos,3980.0,0.0,0.0
2025-06-02 21:16,Pera x 1 Kg,Frescos,1690.0,0.0,0.0
2025-06-02 21:16,Asado x Kg,Frescos,13600.0,0.0,0.0
2025-06-02 21:16,Carnaza Comun x Kg,Frescos,10500.0,0.0,0.0
2025-06-02 21:16,Paleta en Churrasco Envasado al Vacío x 1 Kg.,Frescos,14100.0,0.0,0.0
2025-06-02 21:16,Carne picada Especial Atmósfera Modificada 500 Gr,Frescos,14000.0,0.0,0.0
2025-06-02 21:16,Milanesa De Nalga Carnes De La Estancia Envasado Al Vacío X 1 Kg,Frescos,8450.0,0.0,0.0
2025-06-02 21:16,Pollo Entero x 1 Kg (precio por kg),Frescos,2990.0,0.0,0.0
2025-06-02 21:16,Filet de Merluza Rebozado a la Romana Dia 500 Gr (Carne de pescado - opción rebozada),Frescos,9990.0,0.0,0.0
2025-06-02 21:16,Leche Entera DIA Sachet 1 Lt.,Frescos,13900.0,0.0,0.0
2025-06-02 21:16,Queso Crema DIA Normandia 290 Gr.,Frescos,2990.0,0.0,0.0
2025-06-02 21:16,Queso Cremoso Dia X Kg. (Proxy para Queso Cuartirolo),Frescos,12890.0,0.0,0.0
2025-06-02 21:16,Queso Rallado DIA 150 Gr,Frescos,4190.0,0.0,0.0
2025-06-02 21:16,"Yogur Bebible Frutilla La Serenisima 1,1 Lt.",Frescos,7380.0,0.0,0.0
2025-06-02 21:16,"Aceite de Girasol Natura 1,5 Lt.",Almacén,4470.0,0.0,0.0
2025-06-02 21:16,Gaseosa Coca-Cola Sabor Original 2.25 Lt.,Bebidas alcohólicas y tabaco,8400.0,0.0,0.0
2025-06-02 21:16,Sifon De Soda Sin Tacc Dia 2 Lt.,Bebidas alcohólicas y tabaco,2900.0,0.0,0.0
2025-06-02 21:16,Cerveza Lager Oslava 1 Lt.,Bebidas alcohólicas y tabaco,2580.0,0.0,0.0
2025-06-02 21:16,Sal Fina en Paquete Celusal 500 Gr.,Almacén,1325.0,0.0,0.0
2025-06-02 21:16,Vinagre de Alcohol Dia 1 Lt.,Almacén,1050.0,0.0,0.0
2025-06-02 21:16,Dolca Suave Nescafé x 100 Gr. (Instantáneo),Almacén,7190.0,0.0,0.0
2025-06-02 21:16,Yerba Mate Taragüi 4 Flex 500 Gr.,Almacén,4500.0,0.0,0.0
2025-06-02 21:16,Pan Mignon 250 Gr,Panificados,918.0,0.0,0.0
