Producto,Division,Mes_Actual,Año_Actual,Precio_Primer_Dia,Precio_Ultimo_Dia,Variacion,Porcentaje
Galletita de Agua Cracker Dia 101 Gr,Panificados,5,2025,2350.0,1575.0,-775.0,-32.97872340425532
Arroz Largo Fino Molinos Ala 500 Gr.,Almacén,5,2025,3120.0,3120.0,0.0,0.0
Papa Negra x 1 Kg,Frescos,5,2025,4550.0,4550.0,0.0,0.0
Batata x 1 Kg,Frescos,5,2025,1290.0,1290.0,0.0,0.0
Azúcar Plus DIA Común tipo A 1 Kg,Almacén,5,2025,1980.0,1980.0,0.0,0.0
Dulce de Leche Clásico La Serenísima con calcio 400 Gr,Almacén,5,2025,3055.0,3135.0,80.0,2.618657937806874
Acelga x 1 Kg,Frescos,5,2025,3090.0,3090.0,0.0,0.0
Cebolla Morada x 1 Kg,Frescos,5,2025,3380.0,3380.0,0.0,0.0
Lechuga Mantecosa x 1 Kg,Frescos,5,2025,4790.0,4790.0,0.0,0.0
Tomate Perita x 1 Kg,Frescos,5,2025,6580.0,5780.0,-800.0,-12.158054711246201
Zanahoria x 1 Kg,Frescos,5,2025,2580.0,2580.0,0.0,0.0
Zapallo x 1 Kg,Frescos,5,2025,890.0,890.0,0.0,0.0
Manzana Roja x 1 Kg,Frescos,5,2025,5380.0,5380.0,0.0,0.0
Mandarina x 1 Kg,Frescos,5,2025,1380.0,2580.0,1200.0,86.95652173913044
Naranja Jugo x 1 Kg,Frescos,5,2025,2580.0,2580.0,0.0,0.0
Banana x 1 Kg,Frescos,5,2025,3980.0,3980.0,0.0,0.0
Pera x 1 Kg,Frescos,5,2025,1690.0,1690.0,0.0,0.0
Asado x Kg,Frescos,5,2025,13600.0,13600.0,0.0,0.0
Carnaza Comun x Kg,Frescos,5,2025,10500.0,10500.0,0.0,0.0
Paleta en Churrasco Envasado al Vacío x 1 Kg.,Frescos,5,2025,14100.0,14100.0,0.0,0.0
Carne picada Especial Atmósfera Modificada 500 Gr,Frescos,5,2025,14000.0,14000.0,0.0,0.0
Milanesa De Nalga Carnes De La Estancia Envasado Al Vacío X 1 Kg,Frescos,5,2025,8450.0,8450.0,0.0,0.0
Pollo Entero x 1 Kg (precio por kg),Frescos,5,2025,2990.0,2490.0,-500.0,-16.722408026755854
Filet de Merluza Rebozado a la Romana Dia 500 Gr (Carne de pescado - opción rebozada),Frescos,5,2025,9990.0,9990.0,0.0,0.0
Leche Entera DIA Sachet 1 Lt.,Frescos,5,2025,13900.0,13900.0,0.0,0.0
Queso Crema DIA Normandia 290 Gr.,Frescos,5,2025,2490.0,2990.0,500.0,20.080321285140563
Queso Cremoso Dia X Kg. (Proxy para Queso Cuartirolo),Frescos,5,2025,12890.0,12890.0,0.0,0.0
Queso Rallado DIA 150 Gr,Frescos,5,2025,4590.0,4190.0,-400.0,-8.714596949891067
"Yogur Bebible Frutilla La Serenisima 1,1 Lt.",Frescos,5,2025,5160.0,7380.0,2220.0,43.02325581395349
"Aceite de Girasol Natura 1,5 Lt.",Almacén,5,2025,4215.0,4470.0,255.0,6.049822064056939
Sal Fina en Paquete Celusal 500 Gr.,Almacén,5,2025,990.0,990.0,0.0,0.0
Vinagre de Alcohol Dia 1 Lt.,Almacén,5,2025,1050.0,1050.0,0.0,0.0
Dolca Suave Nescafé x 100 Gr. (Instantáneo),Almacén,5,2025,7190.0,7190.0,0.0,0.0
Yerba Mate Taragüi 4 Flex 500 Gr.,Almacén,5,2025,4500.0,4500.0,0.0,0.0
Pan Mignon 250 Gr,Panificados,5,2025,918.0,918.0,0.0,0.0
Vainillas DIA 148 Gr.,Panificados,5,2025,2500.0,2500.0,0.0,0.0
Harina de Trigo 000 DIA 1 Kg,Almacén,5,2025,1580.0,1580.0,0.0,0.0
Polenta Prestopronta 500 Gr.,Almacén,5,2025,950.0,950.0,0.0,0.0
Fideos Tirabuzón Favorita 500 Gr,Almacén,5,2025,3000.0,3000.0,0.0,0.0
Dulce de Batata Emeth 500 Gr,Almacén,5,2025,2500.0,2500.0,0.0,0.0
Mermelada BC Durazno 390 Gr,Almacén,5,2025,2345.0,3175.0,830.0,35.39445628997868
Lentejas Dia 400 Gr,Almacén,5,2025,1900.0,1900.0,0.0,0.0
Puré de Tomate Dia 520 Gr.,Almacén,5,2025,790.0,790.0,0.0,0.0
Jamón Cocido Fetas Finas Dia 200 Gr (Ejemplo para Paleta Cocida),Frescos,5,2025,4190.0,3355.0,-835.0,-19.928400954653938
Salamín Cagnoli Picado Grueso 145 Gr (Ejemplo para Salame),Frescos,5,2025,4190.0,4890.0,700.0,16.706443914081145
Huevo Blanco Grande x 12 unidades,Frescos,5,2025,7980.0,7980.0,0.0,0.0
Manteca DIA Calidad Extra 200 Gr,Frescos,5,2025,3070.0,3000.0,-70.0,-2.2801302931596092
Mayonesa DIA 220 Ml.,Almacén,5,2025,725.0,725.0,0.0,0.0
Caldo De Verdura Maggi x 12 Ud.,Almacén,5,2025,1258.0,1480.0,222.0,17.647058823529413
Arveja Congelada DIA 350 Gr,Almacén,5,2025,1990.0,1990.0,0.0,0.0
